raw	safe
Ag/IgG/FCGR2A_complex_PLASMA Cytoplasm	Ag_IgG_FCGR2A_complex_PLASMA_Cytoplasm
Ag/IgG/FCGR3A_complex_BCELL Cytoplasm	Ag_IgG_FCGR3A_complex_BCELL_Cytoplasm
Ag/IgG/FCGR3A_complex_M1 Cytoplasm	Ag_IgG_FCGR3A_complex_M1_Cytoplasm
Ag/IgG/FCGR3A_complex_M2 Cytoplasm	Ag_IgG_FCGR3A_complex_M2_Cytoplasm
Ag/IgG/FCGR3A_complex_PLASMA Cytoplasm	Ag_IgG_FCGR3A_complex_PLASMA_Cytoplasm
Ag/IgG_complex	Ag_IgG_complex
Allergen	Allergen
Allergen/IgE/FCERI_complex_BCELL Cytoplasm	Allergen_IgE_FCERI_complex_BCELL_Cytoplasm
Allergen/IgE/FCERI_complex_PLASMA Cytoplasm	Allergen_IgE_FCERI_complex_PLASMA_Cytoplasm
Angiogenesis_phenotype	Angiogenesis_phenotype
Antigen_Extracellular	Antigen_Extracellular
Antigen_Extracellular_1	Antigen_Extracellular_1
Apoptosis_phenotype	Apoptosis_phenotype
B2M	B2M
BAD_BCELL Cytoplasm	BAD_BCELL_Cytoplasm
BAD_M1 Cytoplasm	BAD_M1_Cytoplasm
BAD_M2 Cytoplasm	BAD_M2_Cytoplasm
BAD_PDC Cytoplasm	BAD_PDC_Cytoplasm
BAD_PLASMA Cytoplasm	BAD_PLASMA_Cytoplasm
BAD_SGEC Cytoplasm	BAD_SGEC_Cytoplasm
BAD_TFH Cytoplasm	BAD_TFH_Cytoplasm
BAD_TH1 Cytoplasm	BAD_TH1_Cytoplasm
BAD_TH17 Cytoplasm	BAD_TH17_Cytoplasm
BAD_TREG Cytoplasm	BAD_TREG_Cytoplasm
BAFF-APRIL/BCMA_complex	BAFF_APRIL_BCMA_complex
BAFF-APRIL/TACI_complex	BAFF_APRIL_TACI_complex
BAFF/BAFFR_complex_BCELL Cytoplasm	BAFF_BAFFR_complex_BCELL_Cytoplasm
BAFF/BAFFR_complex_PLASMA Cytoplasm	BAFF_BAFFR_complex_PLASMA_Cytoplasm
BCL10_BCELL Cytoplasm	BCL10_BCELL_Cytoplasm
BCL10_BCELL Cytoplasm_1	BCL10_BCELL_Cytoplasm_1
BCL10_M1 Cytoplasm	BCL10_M1_Cytoplasm
BCL10_M1 Cytoplasm_1	BCL10_M1_Cytoplasm_1
BCL10_M2 Cytoplasm	BCL10_M2_Cytoplasm
BCL10_M2 Cytoplasm_1	BCL10_M2_Cytoplasm_1
BCL10_PLASMA Cytoplasm	BCL10_PLASMA_Cytoplasm
BCL10_PLASMA Cytoplasm_1	BCL10_PLASMA_Cytoplasm_1
