node_id	node_name	node_type	compartment_id	canonical_form	g_r_p_variants
21668	IL4	Protein	21629	IL4	21421(RNA),21234(Gene)
21640	IL5	Protein	21629	IL5	21308(Gene),21499(RNA)
21625	IL6	Protein	21555	IL6	21266(Gene),21023(Protein),21344(RNA),21655(Protein)
21655	IL6	Protein	21629	IL6	21266(Gene),21023(Protein),21625(Protein),21344(RNA)
21600	IL7	Protein	21555	IL7	21032(Protein)
21557	LPS	Simple molecule	21555	LPS	21114(Simple molecule)
21575	LTA	Protein	21555	LTA	20744(Protein)
21623	LTB	Protein	21555	LTB	
21626	LXA4	Protein	21555	LXA4	
21614	MHC1 proteins	Protein	21555	MHC1 PROTEINS	20920(Protein),20890(Protein)
21612	MHC1/B2M	Complex	21555	MHC1/B2M	
21656	MMP9	Protein	21629	MMP9	21465(RNA),21364(Gene)
21663	MUC1	Protein	21629	MUC1	21232(Gene),21302(RNA)
21587	PG	Simple molecule	21555	PG	20871(Simple molecule),20654(Simple molecule)
21631	PTGS2	Protein	21629	PTGS2	21526(RNA),21470(Gene)
21618	sialic_acid	Simple molecule	21555	SIALIC_ACID	
21566	ssRNA	Simple molecule	21555	SSRNA	21165(Simple molecule),20945(Simple molecule)
21564	TGFB1	Protein	21555	TGFB1	20782(Protein)
21593	TLR10_ligand	Simple molecule	21555	TLR10_LIGAND	
21571	TNF	Protein	21555	TNF	21642(Protein),20688(Protein),21442(Gene),21435(RNA),21147(Protein)
21642	TNF	Protein	21629	TNF	21571(Protein),20688(Protein),21442(Gene),21435(RNA),21147(Protein)
21610	TNFSF10	Protein	21555	TNFSF10	21007(Protein)
21597	TNFSF11	Protein	21555	TNFSF11	20672(Protein)
21581	TNFSF13	Protein	21555	TNFSF13	
21667	TNFSF13B	Protein	21629	TNFSF13B	20680(Protein),21480(RNA),21275(Gene),21563(Protein)
21563	TNFSF13B	Protein	21555	TNFSF13B	21667(Protein),20680(Protein),21480(RNA),21275(Gene)
21565	TNFSF14	Protein	21555	TNFSF14	
21620	TNFSF15	Protein	21555	TNFSF15	20941(Protein)
21665	TOX	Protein	21629	TOX	21509(Gene),21426(RNA)
21664	TRIM21	Protein	21629	TRIM21	21511(Gene),21539(RNA)
21661	VCAM1	Protein	21629	VCAM1	21519(Gene),21284(RNA),21126(Protein),21556(Protein)
21556	VCAM1	Protein	21555	VCAM1	21519(Gene),21284(RNA),21126(Protein),21661(Protein)
21611	VEGFA	Protein	21555	VEGFA	21060(Protein)
21644	VIM	Protein	21629	VIM	21496(RNA),21255(Gene)
21561	XCL1	Protein	21555	XCL1	
21627	XCL2	Protein	21555	XCL2	
