trap_id	scenario	class	n_disease_on	n_disease_off	n_disease_unk	pheno_Apoptosis_phenotype	pheno_Inflammation_phenotype	pheno_Fibrosis_phenotype	pheno_B_Cell_Activation_Survival_phenotype	pheno_T_Cell_Activation_Differentiation_phenotype	pheno_Chemotaxis_Infiltration_phenotype	pheno_Lymphoid_organ_development_phenotype	pheno_Matrix_degradation_phenotype	pheno_Regulated_Necrosis_phenotype	pheno_Angiogenesis_phenotype	pheno_Cell_Proliferation_Survival_phenotype	pheno_MHC_Class_1_Activation_phenotype	pheno_MHC_Class_2_Activation_phenotype	pheno_Phagocytosis_phenotype	ct_SGEC_on	ct_TH1_on	ct_TH17_on	ct_TFH_on	ct_TREG_on	ct_BCELL_on	ct_PLASMA_on	ct_M1_on	ct_M2_on	ct_PDC_on
healthy_t39	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	148	165	163	242	195	180	169	148
healthy_t40	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	148	165	163	243	195	180	169	148
healthy_t41	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	148	165	163	243	195	180	169	148
healthy_t42	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	149	165	163	243	195	180	169	148
healthy_t43	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	149	165	163	243	195	180	169	148
healthy_t44	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	149	165	163	242	195	180	169	148
healthy_t45	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	149	165	163	242	195	180	169	148
healthy_t46	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	148	165	163	242	195	180	169	148
healthy_t47	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	148	165	163	242	195	180	169	148
healthy_t48	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	148	165	163	242	195	180	169	147
healthy_t49	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	148	165	163	241	195	180	169	147
healthy_t50	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	148	165	163	243	195	180	169	147
healthy_t51	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	148	165	163	242	195	180	169	147
healthy_t52	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	148	165	163	243	195	180	169	147
healthy_t53	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	148	165	163	242	195	180	169	147
healthy_t54	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	148	165	163	242	195	180	169	147
healthy_t55	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	148	165	163	241	195	180	169	147
healthy_t56	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	149	165	163	243	195	180	169	147
healthy_t57	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	149	165	163	242	195	180	169	147
healthy_t58	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	149	165	163	243	195	180	169	147
healthy_t59	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	149	165	163	242	195	180	169	147
healthy_t60	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	149	165	163	242	195	180	169	147
healthy_t61	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	149	165	163	242	195	180	169	147
healthy_t62	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	149	165	163	241	195	180	169	147
healthy_t63	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	159	137	149	165	163	241	195	180	169	147
healthy_t64	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	149	165	163	239	195	180	169	148
healthy_t65	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	149	165	163	239	195	180	169	147
healthy_t66	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	149	165	163	240	195	180	169	148
healthy_t67	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	149	165	163	240	195	180	169	147
healthy_t68	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	148	165	163	239	195	180	169	148
healthy_t69	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	148	165	163	240	195	180	169	148
healthy_t70	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	148	165	163	239	195	180	169	147
healthy_t71	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	148	165	163	240	195	180	169	147
healthy_t72	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	148	165	163	240	195	180	169	147
healthy_t73	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	148	165	163	241	195	180	169	147
healthy_t74	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	149	165	163	240	195	180	169	147
healthy_t75	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	149	165	163	241	195	180	169	147
healthy_t76	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	149	165	163	240	195	180	169	148
healthy_t77	healthy	healthy_like	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	160	137	148	165	163	240	195	180	169	148
