trap_id	scenario	class	n_disease_on	n_disease_off	n_disease_unk	pheno_Apoptosis_phenotype	pheno_Inflammation_phenotype	pheno_Fibrosis_phenotype	pheno_B_Cell_Activation_Survival_phenotype	pheno_T_Cell_Activation_Differentiation_phenotype	pheno_Chemotaxis_Infiltration_phenotype	pheno_Lymphoid_organ_development_phenotype	pheno_Matrix_degradation_phenotype	pheno_Regulated_Necrosis_phenotype	pheno_Angiogenesis_phenotype	pheno_Cell_Proliferation_Survival_phenotype	pheno_MHC_Class_1_Activation_phenotype	pheno_MHC_Class_2_Activation_phenotype	pheno_Phagocytosis_phenotype	ct_SGEC_on	ct_TH1_on	ct_TH17_on	ct_TFH_on	ct_TREG_on	ct_BCELL_on	ct_PLASMA_on	ct_M1_on	ct_M2_on	ct_PDC_on
disease_ifn_t10	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	110	96	160	168	145
disease_ifn_t11	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	109	96	160	168	145
disease_ifn_t12	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	110	96	160	168	145
disease_ifn_t13	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	109	96	160	168	145
disease_ifn_t14	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	111	96	160	168	145
disease_ifn_t15	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	110	96	160	168	145
disease_ifn_t16	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	111	96	159	168	145
disease_ifn_t17	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	111	95	159	168	145
disease_ifn_t18	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	111	96	159	168	145
disease_ifn_t19	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	111	95	159	168	145
disease_ifn_t20	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	110	96	159	168	145
disease_ifn_t21	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	110	95	159	168	145
disease_ifn_t22	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	110	96	159	168	145
disease_ifn_t23	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	110	95	159	168	145
disease_ifn_t24	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	109	96	159	168	145
disease_ifn_t25	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	110	96	159	168	145
disease_ifn_t26	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	109	95	159	168	145
disease_ifn_t27	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	110	95	159	168	145
disease_ifn_t28	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	109	96	159	168	145
disease_ifn_t29	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	109	95	159	168	145
disease_ifn_t30	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	110	96	159	168	145
disease_ifn_t31	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	110	95	159	168	145
disease_ifn_t32	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	110	96	160	167	145
disease_ifn_t33	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	110	96	159	167	145
disease_ifn_t34	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	111	96	160	167	145
disease_ifn_t35	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	111	96	159	167	145
disease_ifn_t36	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	110	96	160	167	145
disease_ifn_t37	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	110	96	159	167	145
disease_ifn_t38	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	111	96	160	167	145
disease_ifn_t39	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	111	96	159	167	145
disease_ifn_t40	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	111	95	160	167	145
disease_ifn_t41	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	111	95	159	167	145
disease_ifn_t42	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	111	95	160	167	145
disease_ifn_t43	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	111	95	159	167	145
disease_ifn_t44	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	110	95	160	167	145
disease_ifn_t45	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	110	95	159	167	145
disease_ifn_t46	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	110	95	160	167	145
disease_ifn_t47	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	110	95	159	167	145
disease_ifn_t48	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	109	95	160	167	145
disease_ifn_t49	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	109	96	160	167	145
disease_ifn_t50	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	110	95	160	167	145
disease_ifn_t51	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	110	96	160	167	145
disease_ifn_t52	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	110	95	159	167	145
disease_ifn_t53	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	109	95	159	167	145
disease_ifn_t54	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	110	96	159	167	145
disease_ifn_t55	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	109	96	159	167	145
disease_ifn_t56	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	110	95	159	167	145
disease_ifn_t57	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	110	96	159	167	145
disease_ifn_t58	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	110	95	160	167	145
disease_ifn_t59	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	110	96	160	167	145
disease_ifn_t60	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	109	95	159	167	145
disease_ifn_t61	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	109	95	160	167	145
disease_ifn_t62	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	109	96	159	167	145
disease_ifn_t63	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	109	96	160	167	145
disease_ifn_t64	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	110	95	159	168	145
disease_ifn_t65	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	109	95	159	168	145
disease_ifn_t66	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	110	95	159	167	145
disease_ifn_t67	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	109	95	159	167	145
disease_ifn_t68	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	110	95	159	168	145
disease_ifn_t69	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	110	95	159	167	145
disease_ifn_t70	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	109	95	159	168	145
disease_ifn_t71	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	109	95	159	167	145
disease_ifn_t72	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	110	95	159	168	145
disease_ifn_t73	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	110	95	159	167	145
disease_ifn_t74	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	110	95	159	168	145
disease_ifn_t75	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	110	95	159	167	145
disease_ifn_t76	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	111	95	159	168	145
disease_ifn_t77	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	111	95	159	168	145
disease_ifn_t78	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	111	95	159	167	145
disease_ifn_t79	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	111	95	159	167	145
disease_ifn_t80	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	111	95	160	168	145
disease_ifn_t81	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	110	95	160	168	145
disease_ifn_t82	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	110	95	160	168	145
disease_ifn_t83	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	109	95	160	168	145
disease_ifn_t84	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	110	95	160	167	145
disease_ifn_t85	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	111	95	160	167	145
disease_ifn_t86	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	109	95	160	167	145
disease_ifn_t87	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	110	95	160	167	145
disease_ifn_t88	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	109	95	160	168	145
disease_ifn_t89	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	109	95	160	167	145
disease_ifn_t90	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	110	95	160	168	145
disease_ifn_t91	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	110	95	160	167	145
disease_ifn_t92	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	111	95	160	168	145
disease_ifn_t93	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	111	95	160	167	145
disease_ifn_t94	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	110	95	160	168	145
disease_ifn_t95	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	110	95	160	167	145
disease_ifn_t96	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	110	94	159	168	145
disease_ifn_t97	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	142	154	165	157	138	110	94	160	168	145
disease_ifn_t98	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	110	94	159	168	145
disease_ifn_t99	disease_ifn	disease	3	6	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	141	154	165	157	138	110	94	160	168	145
