trap_id	scenario	class	n_disease_on	n_disease_off	n_disease_unk	pheno_Apoptosis_phenotype	pheno_Inflammation_phenotype	pheno_Fibrosis_phenotype	pheno_B_Cell_Activation_Survival_phenotype	pheno_T_Cell_Activation_Differentiation_phenotype	pheno_Chemotaxis_Infiltration_phenotype	pheno_Lymphoid_organ_development_phenotype	pheno_Matrix_degradation_phenotype	pheno_Regulated_Necrosis_phenotype	pheno_Angiogenesis_phenotype	pheno_Cell_Proliferation_Survival_phenotype	pheno_MHC_Class_1_Activation_phenotype	pheno_MHC_Class_2_Activation_phenotype	pheno_Phagocytosis_phenotype	ct_SGEC_on	ct_TH1_on	ct_TH17_on	ct_TFH_on	ct_TREG_on	ct_BCELL_on	ct_PLASMA_on	ct_M1_on	ct_M2_on	ct_PDC_on
disease_full_t39	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	161	168	162	169	153	161	125	206	191	144
disease_full_t40	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	163	169	153	161	125	206	191	144
disease_full_t41	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	161	168	163	169	153	161	125	206	191	144
disease_full_t42	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	163	169	153	161	126	206	191	144
disease_full_t43	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	161	168	163	169	153	161	126	206	191	144
disease_full_t44	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	163	169	153	162	126	206	191	144
disease_full_t45	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	161	168	163	169	153	162	126	206	191	144
disease_full_t46	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	163	169	153	162	125	206	191	144
disease_full_t47	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	161	168	163	169	153	162	125	206	191	144
disease_full_t48	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	163	169	153	162	124	206	191	144
disease_full_t49	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	162	169	153	162	124	206	191	144
disease_full_t50	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	163	169	153	161	124	206	191	144
disease_full_t51	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	162	169	153	161	124	206	191	144
disease_full_t52	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	161	168	163	169	153	161	124	206	191	144
disease_full_t53	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	161	168	163	169	153	162	124	206	191	144
disease_full_t54	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	161	168	162	169	153	161	124	206	191	144
disease_full_t55	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	161	168	162	169	153	162	124	206	191	144
disease_full_t56	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	161	168	163	169	153	161	125	206	191	144
disease_full_t57	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	161	168	162	169	153	161	125	206	191	144
disease_full_t58	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	163	169	153	161	125	206	191	144
disease_full_t59	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	162	169	153	161	125	206	191	144
disease_full_t60	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	161	168	163	169	153	162	125	206	191	144
disease_full_t61	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	163	169	153	162	125	206	191	144
disease_full_t62	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	161	168	162	169	153	162	125	206	191	144
disease_full_t63	disease_full	disease	2	7	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	162	168	162	169	153	162	125	206	191	144
