Target,Level,Rule,Relation1,Identifier1
ISG20_M2 Cytoplasm,1,ISG20_rna_M2 Nucleus,isDescribedBy,
TLR2/TLR6/CD36_complex_M2 Cytoplasm,1,PG,isDescribedBy,
IFI6_M2 Cytoplasm,1,IFI6_rna_M2 Nucleus,isDescribedBy,
EIF2AK2_space_homodimer_M2 Cytoplasm_1,1,EIF2AK2_space_homodimer_M2 Cytoplasm,isDescribedBy,
SOCS2_M2 Cytoplasm,1,SOCS1_rna_M2 Nucleus,isDescribedBy,
IFITM2_M2 Cytoplasm,1,IFITM2_rna_M2 Nucleus,isDescribedBy,
IFIT5_M2 Cytoplasm,1,IFIT5_rna_M2 Nucleus,isDescribedBy,
ISG15_M2 Cytoplasm,1,ISG15_rna_M2 Nucleus,isDescribedBy,
CCL16/CCR1_complex_M2 Cytoplasm,1,CCL16&CCR1_M2 Cytoplasm_1,isDescribedBy,
CCR1_M2 Cytoplasm,1,(CCL3|CCL3),isDescribedBy,
TLR10L/TLR10_complex_M2 Cytoplasm,1,TLR10_ligand&TLR10_M2 Cytoplasm_1,isDescribedBy,
IFNGR1_M2 Cytoplasm,1,(IFNG_Secreted|IFNG_Secreted),isDescribedBy,
IFNGR2_M2 Cytoplasm,1,(IFNG_Secreted|IFNG_Secreted),isDescribedBy,
IFIT2_M2 Cytoplasm,1,IFIT2_rna_M2 Nucleus,isDescribedBy,
HLA-A_M2 Cytoplasm,1,HLA-A_rna_M2 Nucleus,isDescribedBy,
CD40LG/CD40_complex_M2 Cytoplasm,1,CD40LG&CD40_M2 Cytoplasm,isDescribedBy,
IFIT1_M2 Cytoplasm,1,IFIT1_rna_M2 Nucleus,isDescribedBy,
Ag/IgG/FCGR2A_complex_M2 Cytoplasm,1,Ag/IgG_complex&FCGR2A_M2 Cytoplasm,isDescribedBy,
MX1_M2 Cytoplasm,1,MX1_rna_M2 Nucleus,isDescribedBy,
TLR4/LY96_complex_M2 Cytoplasm,1,TLR4_rna_M2 Nucleus,isDescribedBy,
TLR4_M2 Cytoplasm,1,LPS,isDescribedBy,
CCL19/CCRL2_complex_M2 Cytoplasm,1,CCL19_Extracellular&CCRL2_M2 Cytoplasm,isDescribedBy,
RIGI_M2 Cytoplasm,1,(dsRNA_M2 Cytoplasm|TRIM25_M2 Cytoplasm)&!ISG15_M2 Cytoplasm&!UBE2L6_M2 Cytoplasm,isDescribedBy,
MAP2K1_M2 Cytoplasm,1,RAF_M2 Cytoplasm,isDescribedBy,
HLA-C_M2 Cytoplasm,1,HLA-C_rna_M2 Nucleus,isDescribedBy,
TRAIL/TRAILR_complex_M2 Cytoplasm,1,"TNFSF10&TNFRSF10A,B_M2 Cytoplasm_1",isDescribedBy,
GBP6_M2 Cytoplasm,1,GBP6_rna_M2 Nucleus,isDescribedBy,
HLA-DQA2_M2 Cytoplasm,1,HLA-DQA2_rna_M2 Nucleus,isDescribedBy,
TRIM5_M2 Cytoplasm,1,TRIM5_rna_M2 Nucleus,isDescribedBy,
JAK1_M2 Cytoplasm,1,(IFNA/IFNAR_complex_M2 Cytoplasm|IFNG/IFNGR_complex_M2 Cytoplasm|IL7/IL7R_complex_M2 Cytoplasm|IL2/IL2R_complex_M2 Cytoplasm|IFNB/IFNAR_complex_M2 Cytoplasm|IL21/IL21R_complex_M2 Cytoplasm|IL15R_complex_M2 Cytoplasm|IL6/IL6R_complex_M2 Cytoplasm)&!SOCS1_M2 Cytoplasm&!PTPN6_M2 Cytoplasm&!SOCS2_M2 Cytoplasm&!SOCS3_M2 Cytoplasm&!CISH_M2 Cytoplasm,isDescribedBy,
STAT1/STAT2_complex_M2 Cytoplasm,1,STAT1_M2 Cytoplasm_3&STAT2_M2 Cytoplasm,isDescribedBy,
IL6/IL6R_complex_M2 Cytoplasm,1,IL6_Extracellular&IL6R_complex_M2 Cytoplasm,isDescribedBy,
MAP3K5_M2 Cytoplasm,1,DAXX_M2 Cytoplasm_1,isDescribedBy,
MDM2_M2 Cytoplasm,1,MDM2_rna_M2 Nucleus,isDescribedBy,
JAK2_M2 Cytoplasm,1,(IFNG/IFNGR_complex_M2 Cytoplasm|IL12/IL12R_complex_M2 Cytoplasm|IL6/IL6R_complex_M2 Cytoplasm)&!SOCS1_M2 Cytoplasm&!SOCS2_M2 Cytoplasm&!SOCS3_M2 Cytoplasm,isDescribedBy,
STAT1/STAT2/IRF9_complex_M2 Cytoplasm,1,IRF9_M2 Cytoplasm&STAT1/STAT2_complex_M2 Cytoplasm,isDescribedBy,
SRC_M2 Cytoplasm,1,GNAI_M2 Cytoplasm_1,isDescribedBy,
RSAD2_M2 Cytoplasm,1,RSAD2_rna_M2 Nucleus,isDescribedBy,
IFIT3_M2 Cytoplasm,1,IFIT3_rna_M2 Nucleus,isDescribedBy,
HLA-DQA1_M2 Cytoplasm,1,HLA-DQA1_rna_M2 Nucleus,isDescribedBy,
FCGR1BP_M2 Cytoplasm,1,FCGR1BP_rna_M2 Nucleus,isDescribedBy,
STAT1_M2 Cytoplasm_2,1,HDAC3_M2 Cytoplasm,isDescribedBy,
"TNFRSF10A,B_M2 Cytoplasm_1",1,TNFRSF10A_rna_M2 Nucleus,isDescribedBy,
C3a/CA3R1_complex_M2 Cytoplasm,1,C3a&C3AR1_M2 Cytoplasm,isDescribedBy,
OAS1_M2 Cytoplasm,1,OAS1_rna_M2 Nucleus,isDescribedBy,
IP6K2_M2 Cytoplasm,1,IP6K2_rna_M2 Nucleus,isDescribedBy,
C5a/C5AR1_complex_M2 Cytoplasm,1,C5a&C5AR1_M2 Cytoplasm_1,isDescribedBy,
C5AR1_M2 Cytoplasm,1,C5a,isDescribedBy,
IFITM3_M2 Cytoplasm,1,IFITM3_rna_M2 Nucleus,isDescribedBy,
ISG15_M2 Cytoplasm_1,1,(UBE2L6_M2 Cytoplasm|HERC5_M2 Cytoplasm)&ISG15_M2 Cytoplasm&!UBA7_M2 Cytoplasm,isDescribedBy,
STAT1_M2 Cytoplasm_3,1,(JAK1_M2 Cytoplasm|TYK2_M2 Cytoplasm)&STAT1_M2 Cytoplasm_2,isDescribedBy,
IFNA/IFNAR_complex_M2 Cytoplasm,1,IFNA_Extracellular&IFNAR_complex_M2 Cytoplasm,isDescribedBy,
CCL2/CCR2_complex_M2 Cytoplasm,1,CCL2_Extracellular&CCR2_M2 Cytoplasm_1,isDescribedBy,
CCR2_M2 Cytoplasm,1,(CCL13|CCL2_Extracellular|CCL13|CCL2_Extracellular|CCL2_Extracellular),isDescribedBy,
TRIM34_M2 Cytoplasm,1,TRIM34_rna_M2 Nucleus,isDescribedBy,
FCGR1A_M2 Cytoplasm_1,1,FCGR1A_rna_M2 Nucleus,isDescribedBy,
IRF1_M2 Cytoplasm_1,1,IRF1_rna_M2 Nucleus,isDescribedBy,
IL1R_complex_M2 Cytoplasm,1,IL1&IL1R1_M2 Cytoplasm,isDescribedBy,
CCL5/CCR5_complex_M2 Cytoplasm,1,CCL5_Extracellular&CCR5_M2 Cytoplasm_1,isDescribedBy,
CCR5_M2 Cytoplasm,1,(CCL3|CCL4|CCL5_Secreted|CCL4|CCL3|CCL4|CCL5_Secreted),isDescribedBy,
HLA-G_M2 Cytoplasm,1,HLA-G_rna_M2 Nucleus,isDescribedBy,
OAS2_M2 Cytoplasm,1,OAS2_rna_M2 Nucleus,isDescribedBy,
TRIM6_M2 Cytoplasm,1,TRIM6_rna_M2 Nucleus,isDescribedBy,
STAT3_M2 Cytoplasm,1,JAK2_M2 Cytoplasm,isDescribedBy,
TNF/TNFR1_complex_M2 Cytoplasm,1,TNF_Extracellular&TNFRSF1A_M2 Cytoplasm,isDescribedBy,
MT2A_M2 Cytoplasm,1,MT2A_rna_M2 Nucleus,isDescribedBy,
TLR8/ssRNA_complex_M2 Cytoplasm,1,ssRNA&TLR8_M2 Cytoplasm_1,isDescribedBy,
ADAR_M2 Cytoplasm,1,ADAR_rna_M2 Nucleus,isDescribedBy,
IFIH1_M2 Cytoplasm,1,(dsRNA_M2 Cytoplasm|TRIM25_M2 Cytoplasm)&!NLRC5_M2 Cytoplasm&!UBE2L6_M2 Cytoplasm,isDescribedBy,
SHISA5_M2 Cytoplasm,1,SHISA5_rna_M2 Nucleus,isDescribedBy,
HLA-DRB4_M2 Cytoplasm,1,HLA-DRB4_rna_M2 Nucleus,isDescribedBy,
GBP4_M2 Cytoplasm,1,GBP4_rna_M2 Nucleus,isDescribedBy,
IFNG/IFNGR_complex_M2 Cytoplasm,1,IFNG_Extracellular&IFNGR_complex_M2 Cytoplasm,isDescribedBy,
"CD80,86_M2 Cytoplasm",1,"CD80,86_rna_M2 Nucleus",isDescribedBy,
MAX_M2 Cytoplasm,1,"MAPK11,12,13,14_M2 Cytoplasm",isDescribedBy,
IFNB/IFNAR_complex_M2 Cytoplasm,1,IFNB1_Extracellular&IFNAR_complex_M2 Cytoplasm,isDescribedBy,
CHUK/CHUK_complex_M2 Cytoplasm,1,MAP3K14_M2 Cytoplasm_1,isDescribedBy,
GBP5_rna_M2 Nucleus,1,STAT1_space_homodimer_M2 Nucleus,isDescribedBy,
STAT1_space_homodimer_M2 Nucleus,1,STAT1_M2 Cytoplasm_3,isDescribedBy,
ISG15_rna_M2 Nucleus,1,STAT1/STAT2/IRF9_complex_M2 Nucleus,isDescribedBy,
IRF5_rna_M2 Nucleus,1,(STAT1_space_homodimer_M2 Nucleus|STAT1/STAT2/IRF9_complex_M2 Nucleus),isDescribedBy,
GBP4_rna_M2 Nucleus,1,STAT1_space_homodimer_M2 Nucleus,isDescribedBy,
IFI6_rna_M2 Nucleus,1,STAT1/STAT2/IRF9_complex_M2 Nucleus,isDescribedBy,
SP100_M2 Nucleus,1,SP100_rna_M2 Nucleus,isDescribedBy,
GBP2_rna_M2 Nucleus,1,(STAT1/STAT2/IRF9_complex_M2 Nucleus|STAT1_space_homodimer_M2 Nucleus),isDescribedBy,
TNFRSF10A_rna_M2 Nucleus,1,TP53_M2 Nucleus,isDescribedBy,
SOCS3_rna_M2 Nucleus,1,STAT1/STAT2/IRF9_complex_M2 Nucleus,isDescribedBy,
TRIM34_rna_M2 Nucleus,1,STAT1_space_homodimer_M2 Nucleus,isDescribedBy,
IFIT5_rna_M2 Nucleus,1,STAT1/STAT2/IRF9_complex_M2 Nucleus,isDescribedBy,
TRIM25_rna_M2 Nucleus,1,STAT1_space_homodimer_M2 Nucleus,isDescribedBy,
IFI35_rna_M2 Nucleus,1,STAT1/STAT2/IRF9_complex_M2 Nucleus,isDescribedBy,
PML_rna_M2 Nucleus,1,STAT1_space_homodimer_M2 Nucleus,isDescribedBy,
MT2A_rna_M2 Nucleus,1,STAT1_space_homodimer_M2 Nucleus,isDescribedBy,
GBP1_rna_M2 Nucleus,1,STAT1_space_homodimer_M2 Nucleus,isDescribedBy,
RIPK1_rna_M2 Nucleus,1,STAT1/STAT2/IRF9_complex_M2 Nucleus,isDescribedBy,
IFI30_rna_M2 Nucleus,1,STAT1_space_homodimer_M2 Nucleus,isDescribedBy,
IFI27_rna_M2 Nucleus,1,STAT1/STAT2/IRF9_complex_M2 Nucleus,isDescribedBy,
HLA-DQA2_rna_M2 Nucleus,1,STAT1_space_homodimer_M2 Nucleus,isDescribedBy,
PTPN2_M2 Nucleus,1,PTPN2_M2 Cytoplasm,isDescribedBy,
IRF9_rna_M2 Nucleus,1,(STAT1_space_homodimer_M2 Nucleus|STAT1/STAT2/IRF9_complex_M2 Nucleus),isDescribedBy,
CDKN1A_rna_M2 Nucleus,1,TP53_M2 Nucleus,isDescribedBy,
NCAM1_rna_M2 Nucleus,1,STAT1_space_homodimer_M2 Nucleus,isDescribedBy,
TRIM22_rna_M2 Nucleus,1,STAT1_space_homodimer_M2 Nucleus,isDescribedBy,
RRM2_rna_M2 Nucleus,1,TP53_M2 Nucleus,isDescribedBy,
TRIM14_rna_M2 Nucleus,1,STAT1_space_homodimer_M2 Nucleus,isDescribedBy,
HLA-DRA_rna_M2 Nucleus,1,STAT1_space_homodimer_M2 Nucleus,isDescribedBy,
"CD80,86_rna_M2 Nucleus",1,IRF3_M2 Nucleus,isDescribedBy,
SMAD2/SMAD3/SMAD4_complex_M2 Nucleus,1,SMAD2/SMAD3_complex_M2 Cytoplasm&SMAD4_M2 Cytoplasm,isDescribedBy,
TRIM6_rna_M2 Nucleus,1,STAT1_space_homodimer_M2 Nucleus,isDescribedBy,
TRIM5_rna_M2 Nucleus,1,STAT1_space_homodimer_M2 Nucleus,isDescribedBy,
ETS1_M2 Nucleus,1,ETS1_rna_M2 Nucleus,isDescribedBy,
GBP3_rna_M2 Nucleus,1,STAT1_space_homodimer_M2 Nucleus,isDescribedBy,
MX2_rna_M2 Nucleus,1,STAT1/STAT2/IRF9_complex_M2 Nucleus,isDescribedBy,
GBP6_rna_M2 Nucleus,1,STAT1_space_homodimer_M2 Nucleus,isDescribedBy,
SESN1_rna_M2 Nucleus,1,TP53_M2 Nucleus,isDescribedBy,
CD82_rna_M2 Nucleus,1,TP53_M2 Nucleus,isDescribedBy,
HLA-A_rna_M2 Nucleus,1,(STAT1/STAT2/IRF9_complex_M2 Nucleus|STAT1_space_homodimer_M2 Nucleus),isDescribedBy,
FAS_rna_M2 Nucleus,1,TP53_M2 Nucleus,isDescribedBy,
OASL_rna_M2 Nucleus,1,(STAT1/STAT2/IRF9_complex_M2 Nucleus|STAT1_space_homodimer_M2 Nucleus),isDescribedBy,
IFIT3_rna_M2 Nucleus,1,STAT1/STAT2/IRF9_complex_M2 Nucleus,isDescribedBy,
HLA-B_rna_M2 Nucleus,1,(STAT1/STAT2/IRF9_complex_M2 Nucleus|STAT1_space_homodimer_M2 Nucleus),isDescribedBy,
HLA-H_rna_M2 Nucleus,1,(STAT1/STAT2/IRF9_complex_M2 Nucleus|STAT1_space_homodimer_M2 Nucleus),isDescribedBy,
BST2_rna_M2 Nucleus,1,STAT1/STAT2/IRF9_complex_M2 Nucleus,isDescribedBy,
MX1_rna_M2 Nucleus,1,STAT1/STAT2/IRF9_complex_M2 Nucleus,isDescribedBy,
OAS1_rna_M2 Nucleus,1,(STAT1/STAT2/IRF9_complex_M2 Nucleus|STAT1_space_homodimer_M2 Nucleus),isDescribedBy,
RSAD2_rna_M2 Nucleus,1,(STAT1/STAT2/IRF9_complex_M2 Nucleus|CD40LG/CD40_complex_M2 Cytoplasm|TLR3/dsRNA/PolyIC_complex_M2 Cytoplasm|TLR7/ssRNA_complex_M2 Cytoplasm|PRMT5_M2 Cytoplasm),isDescribedBy,
OAS3_rna_M2 Nucleus,1,(STAT1/STAT2/IRF9_complex_M2 Nucleus|STAT1_space_homodimer_M2 Nucleus),isDescribedBy,
HLA-G_rna_M2 Nucleus,1,(STAT1/STAT2/IRF9_complex_M2 Nucleus|STAT1_space_homodimer_M2 Nucleus),isDescribedBy,
MDM2_rna_M2 Nucleus,1,TP53_M2 Nucleus,isDescribedBy,
IP6K2_rna_M2 Nucleus,1,STAT1/STAT2/IRF9_complex_M2 Nucleus,isDescribedBy,
IFITM1_rna_M2 Nucleus,1,STAT1/STAT2/IRF9_complex_M2 Nucleus,isDescribedBy,
FCGR1A_rna_M2 Nucleus,1,STAT1_space_homodimer_M2 Nucleus,isDescribedBy,
IFIT2_rna_M2 Nucleus,1,STAT1/STAT2/IRF9_complex_M2 Nucleus,isDescribedBy,
OAS2_rna_M2 Nucleus,1,(STAT1/STAT2/IRF9_complex_M2 Nucleus|STAT1_space_homodimer_M2 Nucleus),isDescribedBy,
IFITM2_rna_M2 Nucleus,1,STAT1/STAT2/IRF9_complex_M2 Nucleus,isDescribedBy,
SHISA5_rna_M2 Nucleus,1,TP53_M2 Nucleus,isDescribedBy,
XAF1_rna_M2 Nucleus,1,STAT1/STAT2/IRF9_complex_M2 Nucleus,isDescribedBy,
HLA-DQA1_rna_M2 Nucleus,1,STAT1_space_homodimer_M2 Nucleus,isDescribedBy,
EIF2AK2_rna_M2 Nucleus,1,STAT1/STAT2/IRF9_complex_M2 Nucleus,isDescribedBy,
IFIT1_rna_M2 Nucleus,1,STAT1/STAT2/IRF9_complex_M2 Nucleus,isDescribedBy,
FCGR1BP_rna_M2 Nucleus,1,STAT1_space_homodimer_M2 Nucleus,isDescribedBy,
HLA-DRB4_rna_M2 Nucleus,1,STAT1_space_homodimer_M2 Nucleus,isDescribedBy,
MMP9_rna_M2 Nucleus,1,ETS1_M2 Nucleus,isDescribedBy,
SP100_rna_M2 Nucleus,1,STAT1_space_homodimer_M2 Nucleus,isDescribedBy,
ADAR_rna_M2 Nucleus,1,STAT1/STAT2/IRF9_complex_M2 Nucleus,isDescribedBy,
STAT1/STAT2/IRF9_complex_M2 Nucleus,1,STAT1/STAT2/IRF9_complex_M2 Cytoplasm&KPNB1_M2 Cytoplasm,isDescribedBy,
STAT1_space_homodimer_M2 Nucleus_1,1,STAT1_space_homodimer_M2 Nucleus&PTPN2_M2 Nucleus,isDescribedBy,
ETS1_rna_M2 Nucleus,1,SP100_M2 Nucleus,isDescribedBy,
IFITM3_rna_M2 Nucleus,1,STAT1/STAT2/IRF9_complex_M2 Nucleus,isDescribedBy,
ISG20_rna_M2 Nucleus,1,STAT1/STAT2/IRF9_complex_M2 Nucleus,isDescribedBy,
HLA-C_rna_M2 Nucleus,1,(STAT1/STAT2/IRF9_complex_M2 Nucleus|STAT1_space_homodimer_M2 Nucleus),isDescribedBy,
IRF1_rna_M2 Nucleus,1,(STAT1_space_homodimer_M2 Nucleus|STAT1/STAT2/IRF9_complex_M2 Nucleus),isDescribedBy,
IKBIP_rna_M2 Nucleus,1,TP53_M2 Nucleus,isDescribedBy,
TRIM21_rna_M2 Nucleus,1,(STAT1_space_homodimer_M2 Nucleus|TLR3/dsRNA/PolyIC_complex_M2 Cytoplasm),isDescribedBy,
LMNB1_PDC Cytoplasm,1,LMNB1_rna_PDC Nucleus,isDescribedBy,
HNRNPA2B1_PDC Cytoplasm,1,HNRNPA2B1_rna_PDC Nucleus,isDescribedBy,
dsRNA_PDC Cytoplasm,1,dsRNA/polyIC,isDescribedBy,
XIAP_PDC Cytoplasm,1,!XAF1_PDC Cytoplasm,isDescribedBy,
TRIM14_PDC Cytoplasm,1,TRIM14_rna_PDC Nucleus,isDescribedBy,
OAS3_PDC Cytoplasm,1,OAS3_rna_PDC Nucleus,isDescribedBy,
IKBKE/TBK1_complex_PDC Cytoplasm,1,TRAF3_PDC Cytoplasm_2,isDescribedBy,
RPLP0_PDC Cytoplasm,1,RPLP0_rna_PDC Nucleus,isDescribedBy,
IFI30_PDC Cytoplasm,1,IFI30_rna_PDC Nucleus,isDescribedBy,
C3AR1_PDC Cytoplasm,1,C3a,isDescribedBy,
HLA-H_PDC Cytoplasm,1,HLA-H_rna_PDC Nucleus,isDescribedBy,
HLA-B_PDC Cytoplasm,1,HLA-B_rna_PDC Nucleus,isDescribedBy,
GLUT1_PDC Cytoplasm,1,GLUT1_rna_PDC Nucleus,isDescribedBy,
BST2_PDC Cytoplasm,1,BST2_rna_PDC Nucleus,isDescribedBy,
MARCHF8_PDC Cytoplasm,1,BST2_PDC Cytoplasm,isDescribedBy,
XAF1_PDC Cytoplasm,1,XAF1_rna_PDC Nucleus,isDescribedBy,
TYK2_PDC Cytoplasm,1,(IFNA/IFNAR_complex_PDC Cytoplasm|IFNB/IFNAR_complex_PDC Cytoplasm|IL12/IL12R_complex_PDC Cytoplasm)&!SOCS1_PDC Cytoplasm&!SOCS2_PDC Cytoplasm&!SOCS3_PDC Cytoplasm,isDescribedBy,
SOCS1_PDC Cytoplasm,1,SOCS2_rna_PDC Nucleus,isDescribedBy,
GBP1_PDC Cytoplasm,1,GBP1_rna_PDC Nucleus,isDescribedBy,
CXCL12/CXCR4_complex_PDC Cytoplasm,1,CXCL12_Extracellular&CXCR4_PDC Cytoplasm_1,isDescribedBy,
CXCR4_PDC Cytoplasm,1,CXCL12_Extracellular,isDescribedBy,
TRIM22_PDC Cytoplasm,1,TRIM22_rna_PDC Nucleus,isDescribedBy,
IRF7_PDC Cytoplasm,1,IRF7_rna,isDescribedBy,
SOCS3_PDC Cytoplasm,1,SOCS3_rna_PDC Nucleus,isDescribedBy,
IL2RG_PDC Cytoplasm,1,(IL2_Secreted|IL2_Secreted|IL2_Secreted),isDescribedBy,
IFI27_PDC Cytoplasm,1,IFI27_rna_PDC Nucleus,isDescribedBy,
IRF9_PDC Cytoplasm,1,IRF9_rna_PDC Nucleus,isDescribedBy,
TLR3/dsRNA/PolyIC_complex_PDC Cytoplasm,1,dsRNA/polyIC&TLR3_PDC Cytoplasm,isDescribedBy,
IL2RB_PDC Cytoplasm,1,(IL2_Secreted|IL2_Secreted|IL2_Secreted),isDescribedBy,
EIF2AK2_PDC Cytoplasm,1,EIF2AK2_rna_PDC Nucleus,isDescribedBy,
TRIM25_PDC Cytoplasm,1,TRIM25_rna_PDC Nucleus,isDescribedBy,
SMAD2/SMAD3_complex_PDC Cytoplasm,1,TGF/TGFBR1_complex_PDC Cytoplasm,isDescribedBy,
IFITM1_PDC Cytoplasm,1,IFITM1_rna_PDC Nucleus,isDescribedBy,
MX2_PDC Cytoplasm,1,MX2_rna_PDC Nucleus,isDescribedBy,
TNF/TNFR2_complex_PDC Cytoplasm,1,TNF_Extracellular&TNFRSF1B_PDC Cytoplasm_2,isDescribedBy,
TNFRSF1B_PDC Cytoplasm,1,(TNF_Extracellular|TNF_Extracellular),isDescribedBy,
STAT2_PDC Cytoplasm,1,TYK2_PDC Cytoplasm,isDescribedBy,
GBP3_PDC Cytoplasm,1,GBP3_rna_PDC Nucleus,isDescribedBy,
IFI35_PDC Cytoplasm,1,IFI35_rna_PDC Nucleus,isDescribedBy,
IL1R1_PDC Cytoplasm,1,(IL1R1_rna_PDC Nucleus|IL1B|IL1B),isDescribedBy,
GBP2_PDC Cytoplasm,1,GBP2_rna_PDC Nucleus,isDescribedBy,
CD40_PDC Cytoplasm,1,CD40_rna_PDC Nucleus,isDescribedBy,
FLT3LG/FLT3_complex,1,FLT3LG&FLT3_PDC Cytoplasm_1,isDescribedBy,
FLT3_PDC Cytoplasm,1,(FLT3LG|FLT3LG),isDescribedBy,
OASL_PDC Cytoplasm,1,OASL_rna_PDC Nucleus,isDescribedBy,
XCL1-XCL2/XCR1_complex,1,(XCL1&XCR1_PDC Cytoplasm_1|XCL2&XCR1_PDC Cytoplasm_1),isDescribedBy,
XCR1_PDC Cytoplasm,1,(XCL1|XCL2),isDescribedBy,
HLA-DRA_PDC Cytoplasm,1,HLA-DRA_rna_PDC Nucleus,isDescribedBy,
TLR9_PDC Cytoplasm,1,CpG_DNA,isDescribedBy,
GBP5_PDC Cytoplasm,1,GBP5_rna_PDC Nucleus,isDescribedBy,
JAK3_PDC Cytoplasm,1,(IL7/IL7R_complex_PDC Cytoplasm|IL2/IL2R_complex_PDC Cytoplasm|IL21/IL21R_complex_PDC Cytoplasm|IL15R_complex_PDC Cytoplasm)&!PTK2B_PDC Cytoplasm&!SOCS2_PDC Cytoplasm&!SOCS1_PDC Cytoplasm&!SOCS3_PDC Cytoplasm,isDescribedBy,
NCAM1_PDC Cytoplasm,1,NCAM1_rna_PDC Nucleus,isDescribedBy,
TGF/TGFBR1_complex_PDC Cytoplasm,1,TGFB1&TGFBR1_PDC Cytoplasm_1,isDescribedBy,
TGFBR1_PDC Cytoplasm,1,(TGFB1|TGFB1|TGFB1),isDescribedBy,
IRF5_PDC Cytoplasm,1,IRF5_rna_PDC Nucleus,isDescribedBy,
RRAS_PDC Cytoplasm,1,SOS2_PDC Cytoplasm_1,isDescribedBy,
PML_PDC Cytoplasm,1,PML_rna_PDC Nucleus,isDescribedBy,
RAF_PDC Cytoplasm,1,RRAS_PDC Cytoplasm,isDescribedBy,
CASP8_PDC Cytoplasm,1,FADD_PDC Cytoplasm_1&!CFLAR_PDC Cytoplasm,isDescribedBy,
IL12/IL12R_complex_PDC Cytoplasm,1,IL12_Extracellular&IL12R_complex_PDC Cytoplasm,isDescribedBy,
CXCR3_PDC Cytoplasm,1,(CXCL10_Secreted|CXCL11_Extracellular|CXCL9_Secreted|CXCL10_Secreted|CXCL9_Secreted|CXCL10_Secreted|CXCL11_Extracellular|CXCL9_Secreted),isDescribedBy,
PTPN2_PDC Cytoplasm_1,1,PTPN2_PDC Cytoplasm&EIF2AK2_space_homodimer_PDC Cytoplasm,isDescribedBy,
CpG_DNA/TLR9_complex_PDC Cytoplasm,1,CpG_DNA&TLR9_PDC Cytoplasm,isDescribedBy,
RIPK1_PDC Cytoplasm_1,1,RIPK1_rna_PDC Nucleus,isDescribedBy,
FAS_PDC Cytoplasm_1,1,FAS_rna_PDC Nucleus,isDescribedBy,
ADAR1_space_homodimer_PDC Cytoplasm,1,ADAR_PDC Cytoplasm,isDescribedBy,
ISG20_PDC Cytoplasm,1,ISG20_rna_PDC Nucleus,isDescribedBy,
TLR7_PDC Cytoplasm,1,ssRNA,isDescribedBy,
IFI6_PDC Cytoplasm,1,IFI6_rna_PDC Nucleus,isDescribedBy,
ARF1_PDC Cytoplasm,1,ARF1_rna_PDC Nucleus,isDescribedBy,
EIF2AK2_space_homodimer_PDC Cytoplasm_1,1,EIF2AK2_space_homodimer_PDC Cytoplasm,isDescribedBy,
SOCS2_PDC Cytoplasm,1,SOCS1_rna_PDC Nucleus,isDescribedBy,
IFITM2_PDC Cytoplasm,1,IFITM2_rna_PDC Nucleus,isDescribedBy,
IFIT5_PDC Cytoplasm,1,IFIT5_rna_PDC Nucleus,isDescribedBy,
ISG15_PDC Cytoplasm,1,ISG15_rna_PDC Nucleus,isDescribedBy,
IFIT2_PDC Cytoplasm,1,IFIT2_rna_PDC Nucleus,isDescribedBy,
HLA-A_PDC Cytoplasm,1,HLA-A_rna_PDC Nucleus,isDescribedBy,
TLR7/ssRNA_complex_PDC Cytoplasm,1,ssRNA&TLR7_PDC Cytoplasm&LAMP3_PDC Cytoplasm,isDescribedBy,
LAMP3_PDC Cytoplasm,1,LAMP3_rna_PDC Nucleus,isDescribedBy,
CD40LG/CD40_complex_PDC Cytoplasm,1,CD40LG&CD40_PDC Cytoplasm,isDescribedBy,
IFIT1_PDC Cytoplasm,1,IFIT1_rna_PDC Nucleus,isDescribedBy,
MX1_PDC Cytoplasm,1,MX1_rna_PDC Nucleus,isDescribedBy,
CXCL9-10-11/CXCR3_complex_PDC Cytoplasm,1,(CXCL9_Extracellular&CXCR3_PDC Cytoplasm|CXCL10_Extracellular&CXCR3_PDC Cytoplasm|CXCL11_Extracellular&CXCR3_PDC Cytoplasm),isDescribedBy,
CCL19/CCRL2_complex_PDC Cytoplasm,1,CCL19_Extracellular&CCRL2_PDC Cytoplasm,isDescribedBy,
RIGI_PDC Cytoplasm,1,(dsRNA_PDC Cytoplasm|TRIM25_PDC Cytoplasm)&!ISG15_PDC Cytoplasm&!UBE2L6_PDC Cytoplasm,isDescribedBy,
MAP2K1_PDC Cytoplasm,1,RAF_PDC Cytoplasm,isDescribedBy,
HLA-C_PDC Cytoplasm,1,HLA-C_rna_PDC Nucleus,isDescribedBy,
TRAIL/TRAILR_complex_PDC Cytoplasm,1,"TNFSF10&TNFRSF10A,B_PDC Cytoplasm_1",isDescribedBy,
GBP6_PDC Cytoplasm,1,GBP6_rna_PDC Nucleus,isDescribedBy,
HLA-DQA2_PDC Cytoplasm,1,HLA-DQA2_rna_PDC Nucleus,isDescribedBy,
TRIM5_PDC Cytoplasm,1,TRIM5_rna_PDC Nucleus,isDescribedBy,
