Target,Level,Rule,Relation1,Identifier1
STAT2_BCELL Cytoplasm,1,TYK2_BCELL Cytoplasm,isDescribedBy,
GBP3_BCELL Cytoplasm,1,GBP3_rna_BCELL Nucleus,isDescribedBy,
IFI35_BCELL Cytoplasm,1,IFI35_rna_BCELL Nucleus,isDescribedBy,
RIPK1/TRAF2/TRAF5_complex_BCELL Cytoplasm,1,TRADD_BCELL Cytoplasm,isDescribedBy,
IL1R1_BCELL Cytoplasm,1,(IL1B|IL1B),isDescribedBy,
sialic_acid/CD22_complex_BCELL Cytoplasm,1,sialic_acid&CD22_BCELL Cytoplasm_1,isDescribedBy,
GBP2_BCELL Cytoplasm,1,GBP2_rna_BCELL Nucleus,isDescribedBy,
DAG_BCELL Cytoplasm,1,"(PLCG_BCELL Cytoplasm_1|PLCB_BCELL Cytoplasm_1|PI3K_BCELL Cytoplasm_1)&PI(4,5)P2_BCELL Cytoplasm&!PTEN_BCELL Cytoplasm",isDescribedBy,
IKBIP_BCELL Cytoplasm,1,IKBIP_rna_BCELL Nucleus,isDescribedBy,
CHUK/IKBKB/IKBKG_complex_BCELL Cytoplasm,1,(MAP3K7_BCELL Cytoplasm|EDARADD_BCELL Cytoplasm|LTA/TNFR2_complex_BCELL Cytoplasm|AKT_BCELL Cytoplasm|RIPK1/TRAF2/TRAF5_complex_BCELL Cytoplasm|CARD11/BCL10/MALT1_complex_BCELL Cytoplasm|GBP1_BCELL Cytoplasm|GBP5_BCELL Cytoplasm|VEGFA/VEGFR2_complex_BCELL Cytoplasm|BAFF/BAFFR_complex_BCELL Cytoplasm|TRAF6_BCELL Cytoplasm|RSAD2_BCELL Cytoplasm)&!NLRC5_BCELL Cytoplasm&!NLRX1_BCELL Cytoplasm&!USP18_BCELL Cytoplasm&!IKBIP_BCELL Cytoplasm,isDescribedBy,
CD40_BCELL Cytoplasm,1,CD40_rna_BCELL Nucleus,isDescribedBy,
TNFRSF1A_BCELL Cytoplasm,1,(TNF_Extracellular|TNF_Extracellular),isDescribedBy,
TAB1/TAB2/TAB3_complex_BCELL Cytoplasm,1,(TRAF6_BCELL Cytoplasm|RIPK1/TRAF2/TRAF5_complex_BCELL Cytoplasm),isDescribedBy,
PIP3/IP3R_complex_BCELL EndoplasmicReticulum,1,"PI(3,4,5)P3_BCELL Cytoplasm&ITPR3_BCELL EndoplasmicReticulum",isDescribedBy,
LTA/TNFR2_complex_BCELL Cytoplasm,1,LTA&TNFRSF1B_BCELL Cytoplasm_2,isDescribedBy,
CARD11/BCL10/MALT1_complex_BCELL Cytoplasm,1,PRKC_BCELL Cytoplasm,isDescribedBy,
OASL_BCELL Cytoplasm,1,OASL_rna_BCELL Nucleus,isDescribedBy,
HLA-DRA_BCELL Cytoplasm,1,HLA-DRA_rna_BCELL Nucleus,isDescribedBy,
MAP2K7_BCELL Cytoplasm,1,(MAP3K1_BCELL Cytoplasm|MAP3K7_BCELL Cytoplasm),isDescribedBy,
XIAP_BCELL Cytoplasm_1,1,XIAP_rna_BCELL Nucleus,isDescribedBy,
GBP5_BCELL Cytoplasm,1,GBP5_rna_BCELL Nucleus,isDescribedBy,
JAK3_BCELL Cytoplasm,1,(IL7/IL7R_complex_BCELL Cytoplasm|IL2/IL2R_complex_BCELL Cytoplasm|IL21/IL21R_complex_BCELL Cytoplasm|IL15R_complex_BCELL Cytoplasm_1)&!PTK2B_BCELL Cytoplasm&!SOCS2_BCELL Cytoplasm&!SOCS1_BCELL Cytoplasm&!SOCS3_BCELL Cytoplasm,isDescribedBy,
NCAM1_BCELL Cytoplasm,1,NCAM1_rna_BCELL Nucleus,isDescribedBy,
EIF2AK2_space_homodimer_BCELL Cytoplasm,1,(TARBP2_BCELL Cytoplasm|ADAR1_space_homodimer_BCELL Cytoplasm|ISG15_BCELL Cytoplasm_1|LPS/CD14/TL4/LY96_complex_BCELL Cytoplasm)&EIF2AK2_BCELL Cytoplasm,isDescribedBy,
TGF/TGFBR1_complex_BCELL Cytoplasm,1,TGFB1&TGFBR1_BCELL Cytoplasm_1,isDescribedBy,
TGFBR1_BCELL Cytoplasm,1,(TGFB1|TGFB1|TGFB1),isDescribedBy,
IRF5_BCELL Cytoplasm,1,IRF5_rna_BCELL Nucleus,isDescribedBy,
IL15R_complex_BCELL Cytoplasm,1,(IL15_Extracellular|IL15_Extracellular|IL15_Extracellular|IL15_Extracellular),isDescribedBy,
RRAS_BCELL Cytoplasm,1,SOS2_BCELL Cytoplasm,isDescribedBy,
PML_BCELL Cytoplasm,1,PML_rna_BCELL Nucleus,isDescribedBy,
TRAF6_BCELL Cytoplasm,1,"(IRAK4/IRAK1,2/IRAKM_complex_BCELL Cytoplasm|TLR3/dsRNA/PolyIC_complex_BCELL Cytoplasm|TICAM1_BCELL Cytoplasm|CD40LG/CD40_complex_BCELL Cytoplasm)&!TNFAIP3_BCELL Cytoplasm",isDescribedBy,
RAF_BCELL Cytoplasm,1,RRAS_BCELL Cytoplasm,isDescribedBy,
